"contact_group_id","group_id","contact_id"
"3734","27","996"
"3592","24","52"
"3609","12","1449"
"3722","9","1391"
"2957","15","1172"
"1563","15","38"
"3367","5","1386"
"3198","15","1364"
"2840","3","1282"
"1568","15","47"
"3304","5","1391"
"1570","15","51"
"1571","15","52"
"3468","7","1271"
"1573","15","59"
"2519","15","1244"
"3160","3","6"
"1577","15","63"
"2552","8","1247"
"3556","5","1442"
"3405","19","1363"
"3344","5","955"
"2457","8","159"
"3075","20","1224"
"1584","15","77"
"1585","15","78"
"3007","15","1329"
"1588","15","82"
"3663","23","1058"
"3637","26","159"
"3145","12","89"
"1592","15","89"
"1593","15","90"
"2624","6","1267"
"2965","15","1223"
"3055","12","1050"
"1598","15","99"
"3581","5","1442"
"3276","6","21"
"3511","5","124"
"2205","15","1178"
"2551","7","1247"
"3666","5","1322"
"1606","15","112"
"1607","15","113"
"1608","15","116"
"3668","15","1457"
"1611","15","119"
"3530","19","1437"
"1613","15","124"
"2944","5","692"
"1615","15","126"
"3011","15","1330"
"3443","15","1420"
"1618","15","132"
"1619","15","133"
"1620","15","134"
"2704","8","1267"
"3678","15","1461"
"1918","9","1011"
"3356","8","887"
"3462","5","161"
"3026","19","1334"
"1627","15","145"
"1628","15","147"
"2987","15","1321"
"1632","15","159"
"1633","15","161"
"2384","15","1222"
"3688","15","1462"
"1637","15","169"
"2593","15","1165"
"3550","19","996"
"1640","15","181"
"1641","15","183"
"2817","7","1290"
"1644","15","197"
"3202","15","1365"
"2396","12","1224"
"3713","19","1469"
"2947","12","905"
"2653","21","955"
"1651","15","213"
"1652","15","214"
"3334","15","1397"
"2559","15","1251"
"1655","15","218"
"3523","12","1334"
"3303","15","1391"
"1658","15","692"
"3529","7","1436"
"3125","7","1353"
"3306","5","1385"
"1662","15","697"
"1663","15","698"
"1664","15","699"
"3360","15","1163"
"3701","3","1467"
"1668","15","704"
"1669","15","705"
"3072","12","1339"
"1671","15","707"
"1673","15","709"
"2093","15","1147"
"2314","7","1211"
"2703","7","1267"
"2619","12","1211"
"1678","15","888"
"1679","15","890"
"3695","9","1465"
"1681","15","896"
"1682","15","897"
"3444","5","1420"
"2783","15","1282"
"1686","15","901"
"3027","3","1334"
"3060","7","1044"
"2945","15","905"
"1691","15","907"
"1692","15","908"
"3499","8","1427"
"1694","15","910"
"1695","15","911"
"1696","15","912"
"1697","15","913"
"1699","15","915"
"3522","3","1428"
"1701","15","920"
"3407","15","1411"
"1703","15","922"
"1704","15","924"
"1705","15","925"
"3629","26","1220"
"3297","5","1388"
"1708","15","928"
"3129","5","1354"
"1710","15","931"
"1711","15","933"
"3053","15","1335"
"3560","5","1310"
"3720","22","1356"
"2849","15","1166"
"3000","9","1324"
"3295","12","1387"
"1721","15","943"
"1920","3","709"
"1723","15","945"
"2138","15","1160"
"3472","19","1242"
"1726","15","948"
"3294","6","1259"
"2573","15","1257"
"2524","8","1244"
"2267","9","1002"
"2266","15","1203"
"3515","15","1435"
"1733","15","955"
"3510","3","1430"
"2788","5","10"
"2392","6","1223"
"1737","15","960"
"1738","15","961"
"1739","15","962"
"3730","27","183"
"1741","15","964"
"3725","9","1451"
"2990","15","1322"
